Usuário;Computador;Ordem;Cod. Projeto;Cod. Lote;Cod. Pasta;Projeto;Lote;Pasta;Fase;Fase Destino;Imgs. Antes;Imgs. Depois;Docs. Antes;Docs. Depois;Início;Término;Tempo Gasto;Local;
jordana;ADMIN-1;57328;13;1;25;2024;06;GERFOL_PROCESSO_DOCUMENTO_DE_FOLHA_0378;Suspenso Exportação;Verificação;435;435;1;1;10/1/2024 15:29:12;10/1/2024 15:29:12;00:00:00;Local Padrão;
jordana;ADMIN-1;57330;13;1;25;2024;06;GERFOL_PROCESSO_DOCUMENTO_DE_FOLHA_0378;Verificação;Verificação;435;435;1;1;10/1/2024 15:29:13;10/1/2024 15:30:21;00:01:08;Local Padrão;
jordana;ADMIN-1;57331;13;1;25;2024;06;GERFOL_PROCESSO_DOCUMENTO_DE_FOLHA_0378;Verificação;Verificação;435;435;1;1;10/1/2024 15:31:11;10/1/2024 15:31:40;00:00:29;Local Padrão;
Rillary;SCANNER-1;57333;45;2;270;2024;09;AG_DOSSIE_0603;Digitalização (Scanner);;0;1666;0;0;10/1/2024 15:03:50;10/1/2024 15:39:28;00:35:38;Local Padrão;
Rillary;SCANNER-1;57336;45;2;271;2024;09;AG_DOSSIE_0626;Digitalização (Scanner);;0;1459;0;0;10/1/2024 15:41:00;10/1/2024 16:50:21;01:09:21;Local Padrão;
Total; ; ; ; ; ; ; ; ; ; ; ;27246; ;3; ; ;09:22:08; ;
priscylla;DIGITALIZACAO-0;57209;45;2;170;2024;09;AG_DOSSIE_0334;Digitalização (Scanner);;0;2193;0;0;10/1/2024 06:58:40;10/1/2024 07:18:00;00:19:20;Local Padrão;
priscylla;DIGITALIZACAO-0;57215;45;2;248;2024;09;AG_DOSSIE_0519;Digitalização (Scanner);;0;1811;0;0;10/1/2024 07:20:21;10/1/2024 08:20:43;01:00:22;Local Padrão;
priscylla;DIGITALIZACAO-0;57272;45;2;252;2024;09;AG_DOSSIE_0373;Digitalização (Scanner);;0;1782;0;0;10/1/2024 08:21:18;10/1/2024 08:52:02;00:30:44;Local Padrão;
priscylla;DIGITALIZACAO-0;57284;45;2;254;2024;09;AG_DOSSIE_0495;Digitalização (Scanner);;0;1377;0;0;10/1/2024 08:57:29;10/1/2024 08:57:34;00:00:05;Local Padrão;
priscylla;DIGITALIZACAO-0;57294;45;2;254;2024;09;AG_DOSSIE_0495;Digitalização (Scanner);;0;1377;0;0;10/1/2024 08:57:36;10/1/2024 09:54:16;00:56:40;Local Padrão;
priscylla;DIGITALIZACAO-0;57303;45;2;256;2024;09;AG_DOSSIE_0366;Digitalização (Scanner);;0;1787;0;0;10/1/2024 09:54:53;10/1/2024 11:13:51;01:18:58;Local Padrão;
priscylla;DIGITALIZACAO-0;57305;45;2;261;2024;09;AG_DOSSIE_0658;Digitalização (Scanner);;0;1733;0;0;10/1/2024 11:14:54;10/1/2024 13:13:06;01:58:12;Local Padrão;
